,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
3884,PAST SALE,July-26-2018,Single Family Residential,315 Stowell Ave,SUNNYVALE,CA,94085.0,1350000.0,2.0,1.0,SUNNYVALE,990.0,5198.0,1942.0,1024.0,1364.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/315-Stowell-Ave-94085/home/1278205,MLSListings,ML81710472,N,Y,37.384725599999996,-122.02840559999999
3885,PAST SALE,December-28-2017,Single Family Residential,590 Balsam Ave,SUNNYVALE,CA,94085.0,1150000.0,3.0,1.0,SUNNYVALE,1009.0,5090.0,1952.0,1234.0,1140.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/590-Balsam-Ave-94085/home/1467538,MLSListings,ML81686583,N,Y,37.3873221,-122.01619309999998
3886,PAST SALE,August-14-2018,Condo/Co-op,612 Arcadia Ter #102,SUNNYVALE,CA,94085.0,835000.0,1.0,1.0,SUNNYVALE,867.0,1837.0,1996.0,1005.0,963.0,338.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/612-Arcadia-Ter-94085/unit-102/home/659611,MLSListings,ML81717630,N,Y,37.392943599999995,-122.01170970000001
3887,PAST SALE,February-20-2020,Single Family Residential,566 Maple Ave,SUNNYVALE,CA,94085.0,1480000.0,3.0,2.0,SUNNYVALE,1288.0,5356.0,1950.0,450.0,1149.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/566-Maple-Ave-94085/home/622034,MLSListings,ML81778671,N,Y,37.388046200000005,-122.01939070000002
3888,PAST SALE,August-21-2018,Single Family Residential,584 Gresham Ave,SUNNYVALE,CA,94085.0,1201000.0,2.0,1.0,SUNNYVALE,854.0,5000.0,1953.0,998.0,1406.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/584-Gresham-Ave-94085/home/646210,MLSListings,ML81714984,N,Y,37.3885044,-122.01836920000001
3889,PAST SALE,June-9-2016,Single Family Residential,569 Gresham Ave,SUNNYVALE,CA,94085.0,895000.0,2.0,1.0,SUNNYVALE,854.0,4996.0,1951.0,1801.0,1048.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/569-Gresham-Ave-94085/home/1355230,MLSListings,ML81581562,N,Y,37.3880783,-122.0190354
3890,PAST SALE,April-9-2018,Single Family Residential,594 Maple Ave,SUNNYVALE,CA,94085.0,1430000.0,3.0,1.0,SUNNYVALE,1620.0,5356.0,1950.0,1132.0,883.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/594-Maple-Ave-94085/home/594423,MLSListings,ML81694745,N,Y,37.389053999999994,-122.0190354
3891,PAST SALE,December-4-2020,Multi-Family (5+ Unit),664 Morse Ave,SUNNYVALE,CA,94085.0,4000000.0,16.0,12.0,SUNNYVALE,6910.0,20220.0,1957.0,162.0,579.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/664-Morse-Ave-94085/home/657474,MLSListings,ML81815056,N,Y,37.3916325,-122.01894650000001
3892,PAST SALE,July-24-2017,Single Family Residential,599 Gresham Ave,SUNNYVALE,CA,94085.0,1700000.0,4.0,3.0,SUNNYVALE,1968.0,5292.0,2017.0,1391.0,864.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/599-Gresham-Ave-94085/home/1670716,MLSListings,ML81656921,N,Y,37.38913970000001,-122.0186358
3893,PAST SALE,October-6-2017,Single Family Residential,926 Barstow Ct,SUNNYVALE,CA,94085.0,1356300.0,3.0,2.0,SUNNYVALE,1080.0,5200.0,1957.0,1317.0,1256.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/926-Barstow-Ct-94085/home/1304130,MLSListings,ML81676516,N,Y,37.3903502,-122.00360159999998
3894,PAST SALE,April-26-2018,Condo/Co-op,704 San Conrado Ter #8,SUNNYVALE,CA,94085.0,1080000.0,2.0,2.0,SUNNYVALE,1078.0,,1986.0,1115.0,1002.0,404.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/704-San-Conrado-Ter-94085/unit-8/home/781027,MLSListings,ML81698960,N,Y,37.392399299999994,-122.014371
3895,PAST SALE,May-16-2018,Single Family Residential,619 Santa Cruz Ter,SUNNYVALE,CA,94085.0,1750000.0,3.0,2.5,SUNNYVALE,1468.0,3384.0,1999.0,1095.0,1192.0,50.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/619-Santa-Cruz-Ter-94085/home/1524529,MLSListings,ML81699818,N,Y,37.3902306,-122.01774750000001
3896,PAST SALE,June-28-2018,Single Family Residential,949 Amador Ave,SUNNYVALE,CA,94085.0,1300000.0,3.0,2.0,SUNNYVALE,978.0,5200.0,1957.0,1052.0,1329.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/949-Amador-Ave-94085/home/1525737,MLSListings,ML81706627,N,Y,37.391453000000006,-122.0022469
3897,PAST SALE,August-10-2020,Single Family Residential,636 Santa Barbara Ter,SUNNYVALE,CA,94085.0,1658000.0,3.0,2.5,SUNNYVALE,1384.0,3464.0,2000.0,278.0,1198.0,58.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/636-Santa-Barbara-Ter-94085/home/657533,MLSListings,ML81798600,N,Y,37.390938299999995,-122.0186357
3898,PAST SALE,October-21-2020,Single Family Residential,612 Santa Cruz Ter,SUNNYVALE,CA,94085.0,1685000.0,3.0,2.5,SUNNYVALE,1468.0,3648.0,1999.0,206.0,1148.0,58.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/612-Santa-Cruz-Ter-94085/home/1751742,MLSListings,ML81812280,N,Y,37.38987410000001,-122.0174366
3899,PAST SALE,May-4-2020,Single Family Residential,543 Isla Vista Ter,SUNNYVALE,CA,94085.0,1658000.0,3.0,2.5,SUNNYVALE,1384.0,3494.0,2000.0,376.0,1198.0,54.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/543-Isla-Vista-Ter-94085/home/1116217,MLSListings,ML81784175,N,Y,37.3912196,-122.01708130000002
3900,PAST SALE,May-31-2017,Single Family Residential,789 Carolina Ave,SUNNYVALE,CA,94085.0,1175000.0,3.0,2.0,SUNNYVALE,1083.0,6084.0,1953.0,1445.0,1085.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/789-Carolina-Ave-94085/home/1180012,MLSListings,ML81649330,N,Y,37.3943823,-122.01654840000002
3901,PAST SALE,August-29-2017,Single Family Residential,371 Cypress Ave,SUNNYVALE,CA,94085.0,1500000.0,3.0,2.0,SUNNYVALE,1308.0,5200.0,1949.0,1355.0,1147.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/371-Cypress-Ave-94085/home/1392980,MLSListings,ML81670125,N,Y,37.389646500000005,-122.02254369999999
